id,poi shape,poi_type,coordinate
5080,Polygon,playground," 19.0681779, 47.5300434 "
5083,Polygon,playground," 19.0171324, 47.4760387 "
5084,Polygon,pitch," 19.353813, 47.3840148 "
5087,Polygon,playground," 19.056632, 47.5964062 "
5089,Polygon,garden," 19.1490034, 47.4690887 "
5090,Polygon,garden," 19.1486235, 47.4688232 "
5091,Polygon,garden," 19.1525547, 47.4691622 "
5092,Polygon,garden," 19.1527686, 47.4693484 "
5093,Polygon,pitch," 19.3503222, 47.6029389 "
5094,Polygon,park," 19.0521871, 47.5062183 "
5095,Polygon,pitch," 19.0110789, 47.5616235 "
5106,Polygon,pitch," 18.8887167, 47.5209739 "
5112,Polygon,pitch," 18.9354005, 47.5416545 "
5116,Polygon,pitch," 19.4003588, 47.5295816 "
5118,Polygon,playground," 18.8733251, 47.5762789 "
5119,Polygon,track," 19.0135768, 47.4628974 "
5120,Polygon,pitch," 19.0138237, 47.4635654 "
5121,Polygon,playground," 19.1249793, 47.4682383 "
5122,Polygon,pitch," 19.1236708, 47.467203 "
5123,Polygon,pitch," 19.1241606, 47.4685218 "
5124,Polygon,pitch," 19.1243564, 47.4684626 "
5125,Polygon,pitch," 19.1254246, 47.4679919 "
5126,Polygon,playground," 19.0642309, 47.499346 "
5127,Polygon,playground," 19.0434641, 47.5189687 "
5138,Polygon,pitch," 18.8999441, 47.441285 "
5139,Polygon,pitch," 18.8995724, 47.4413286 "
5140,Polygon,park," 19.1380518, 47.5355776 "
5142,Polygon,park," 19.140173, 47.5421092 "
5143,Polygon,park," 19.1364454, 47.5381008 "
5144,Polygon,park," 19.1371488, 47.5375628 "
5145,Polygon,park," 18.9216774, 47.3831491 "
5146,Polygon,park," 19.1746172, 47.4145607 "
5147,Polygon,park," 18.9217724, 47.3831037 "
5148,Polygon,park," 19.1285698, 47.5684737 "
5149,Polygon,park," 19.3362774, 47.4993346 "
5150,Polygon,park," 19.31081, 47.4613854 "
5151,Polygon,park," 19.1257384, 47.54373 "
5152,Polygon,park," 19.1322885, 47.624473 "
5153,Polygon,park," 19.1237658, 47.5239103 "
5154,Polygon,park," 19.0322302, 47.4421054 "
5155,Polygon,playground," 19.1637817, 47.470888 "
5156,Polygon,park," 19.0643696, 47.5191151 "
5157,Polygon,park," 19.1394319, 47.4559271 "
5158,Polygon,playground," 19.1651711, 47.4718579 "
5159,Polygon,park," 19.0323023, 47.448364 "
5160,Polygon,park," 19.0876021, 47.490221 "
5161,Polygon,park," 19.1133865, 47.3989448 "
5162,Polygon,park," 19.1176531, 47.3997928 "
5163,Polygon,park," 19.0533189, 47.4757148 "
5169,Polygon,park," 19.0586769, 47.4853802 "
5170,Polygon,park," 19.0594138, 47.4857396 "
5171,Polygon,park," 18.953062, 47.4085033 "
5172,Polygon,playground," 19.1201619, 47.5810846 "
5173,Polygon,park," 19.1201122, 47.5835178 "
5174,Polygon,park," 19.1078369, 47.5208786 "
5175,Polygon,park," 19.1300506, 47.5161886 "
5176,Polygon,playground," 19.1355501, 47.5362511 "
5177,Polygon,garden," 19.152143, 47.4693184 "
5178,Polygon,park," 19.1212828, 47.4526743 "
5179,Polygon,garden," 19.1196025, 47.4537062 "
5180,Polygon,park," 19.1304374, 47.5601243 "
5182,Polygon,park," 19.1970373, 47.4389015 "
5183,Polygon,park," 19.2060464, 47.3892782 "
5184,Polygon,park," 19.2213005, 47.3877226 "
5185,Polygon,park," 19.2221576, 47.3868973 "
5186,Polygon,playground," 19.2149027, 47.3925276 "
5187,Polygon,park," 19.2146134, 47.3814434 "
5189,Polygon,garden," 19.0402124, 47.458082 "
5190,Polygon,playground," 19.2699616, 47.4795768 "
5191,Polygon,pitch," 19.1992065, 47.504606 "
5192,Polygon,playground," 19.198892, 47.5040327 "
5193,Polygon,playground," 19.1983215, 47.5045894 "
5194,Polygon,track," 19.1991639, 47.5043949 "
5196,Polygon,playground," 18.8669318, 47.4137812 "
5197,Polygon,nature_reserve," 19.3741322, 47.4011751 "
5198,Polygon,nature_reserve," 19.358755, 47.4194202 "
5209,Polygon,park," 19.0877324, 47.4893739 "
5210,Polygon,pitch," 19.0886093, 47.5311745 "
5211,Polygon,pitch," 19.1576371, 47.4850099 "
5212,Polygon,pitch," 19.1570136, 47.4846331 "
5213,Polygon,playground," 19.1610701, 47.4678435 "
5214,Polygon,pitch," 19.1591598, 47.4856851 "
5215,Polygon,track," 19.1608697, 47.4845993 "
5219,Polygon,park," 19.1579502, 47.4677269 "
5222,Polygon,park," 19.1619064, 47.4794277 "
5223,Polygon,park," 19.1614115, 47.4786255 "
5224,Polygon,playground," 19.1613383, 47.4711239 "
5225,Polygon,playground," 19.1604881, 47.4723712 "
5226,Polygon,park," 19.1566211, 47.4863186 "
5227,Polygon,park," 19.1573668, 47.4864463 "
5228,Polygon,garden," 19.1963226, 47.6243834 "
5229,Polygon,garden," 19.193389, 47.6215956 "
5230,Polygon,garden," 19.1962844, 47.6238717 "
5231,Polygon,garden," 19.1957593, 47.6245517 "
5232,Polygon,garden," 19.1957186, 47.6242448 "
5233,Polygon,garden," 19.1957024, 47.624053 "
5234,Polygon,garden," 19.195678, 47.6238311 "
5235,Polygon,pitch," 19.0067648, 47.4695944 "
5236,Polygon,garden," 19.0614667, 47.4854124 "
5237,Polygon,playground," 19.1079235, 47.515074 "
5238,Polygon,sports_centre," 19.0918622, 47.4813257 "
5239,Polygon,pitch," 19.0899865, 47.4838006 "
5240,Polygon,pitch," 19.0897129, 47.4834082 "
5241,Polygon,pitch," 19.0893769, 47.4840665 "
5242,Polygon,pitch," 19.0900745, 47.4833918 "
5243,Polygon,park," 19.0402602, 47.4621871 "
5244,Polygon,park," 19.0399827, 47.4620046 "
5245,Polygon,park," 19.0809104, 47.5300199 "
5250,Polygon,pitch," 18.8938659, 47.5741923 "
5251,Polygon,pitch," 19.0418247, 47.5659446 "
5253,Polygon,pitch," 18.9596558, 47.6179824 "
5254,Polygon,pitch," 18.9591341, 47.6178224 "
5262,Polygon,pitch," 18.9268227, 47.5131798 "
5264,Polygon,playground," 19.0299058, 47.4686399 "
5265,Polygon,park," 19.0366139, 47.4896726 "
5266,Polygon,playground," 19.0762764, 47.4931039 "
5280,Polygon,pitch," 18.954328, 47.5638028 "
5281,Polygon,pitch," 18.9536987, 47.563946 "
5282,Polygon,pitch," 18.9534167, 47.5637918 "
5283,Polygon,sports_centre," 18.9538438, 47.5643632 "
5284,Polygon,pitch," 18.9530183, 47.5647556 "
5285,Polygon,pitch," 18.9521155, 47.5634385 "
5286,Polygon,pitch," 18.9524897, 47.5631693 "
5287,Polygon,pitch," 18.9524003, 47.5646988 "
5288,Polygon,fitness_station," 18.9524967, 47.5646588 "
5289,Polygon,track," 18.9521259, 47.5639834 "
5291,Polygon,pitch," 18.9851264, 47.4457441 "
5292,Polygon,park," 19.199718, 47.5101403 "
5297,Polygon,pitch," 19.0919549, 47.5245888 "
5299,Polygon,park," 19.0513793, 47.5676533 "
5300,Polygon,pitch," 19.0631381, 47.5448579 "
5301,Polygon,playground," 19.064113, 47.546992 "
5302,Polygon,playground," 19.236571, 47.4820489 "
5304,Polygon,pitch," 19.0593608, 47.5748088 "
5306,Polygon,park," 19.2180994, 47.5478622 "
5307,Polygon,pitch," 19.2218403, 47.5440817 "
5308,Polygon,park," 19.1059547, 47.5072048 "
5309,Polygon,park," 19.1031919, 47.5054751 "
5311,Polygon,park," 19.0774439, 47.4882277 "
5312,Polygon,garden," 19.0523309, 47.4676736 "
5313,Polygon,pitch," 19.1494755, 47.5215007 "
5314,Polygon,playground," 19.1100936, 47.6011924 "
5316,Polygon,pitch," 19.1114811, 47.6067865 "
5318,Polygon,pitch," 19.1143811, 47.5197148 "
5319,Polygon,park," 19.0076847, 47.4279022 "
5320,Polygon,park," 19.1240617, 47.4306503 "
5322,Polygon,park," 19.0611417, 47.596928 "
5323,Polygon,fitness_station," 19.0591817, 47.5981314 "
5329,Polygon,park," 19.0462099, 47.4896612 "
5330,Polygon,garden," 19.3812156, 47.6220468 "
5331,Polygon,track," 18.9640582, 47.4392618 "
5335,Polygon,park," 19.0358841, 47.5500968 "
5336,Polygon,pitch," 19.0368036, 47.5505124 "
5337,Polygon,dog_park," 19.2455464, 47.4696272 "
5342,Polygon,playground," 19.1523437, 47.617642 "
5343,Polygon,sports_centre," 19.1529893, 47.6180979 "
5344,Polygon,pitch," 19.1524466, 47.617911 "
5345,Polygon,pitch," 19.1518105, 47.6180113 "
5346,Polygon,park," 19.2128939, 47.5304182 "
5347,Polygon,garden," 19.0777264, 47.4761135 "
5348,Polygon,pitch," 18.9128773, 47.4430092 "
5363,Polygon,park," 18.9054341, 47.4431914 "
5364,Polygon,pitch," 19.0147773, 47.5260768 "
5365,Polygon,playground," 18.922588, 47.4333168 "
5368,Polygon,park," 19.0968755, 47.5444558 "
5369,Polygon,park," 19.0392664, 47.4270747 "
5372,Polygon,pitch," 18.9064445, 47.4389569 "
5373,Polygon,pitch," 18.9019341, 47.4372209 "
5377,Polygon,nature_reserve," 19.369626, 47.4772333 "
5378,Polygon,pitch," 19.0623157, 47.5184071 "
5382,Polygon,pitch," 19.1387663, 47.5489792 "
5383,Polygon,pitch," 19.1386418, 47.548893 "
5384,Polygon,pitch," 19.1376191, 47.5488445 "
5385,Polygon,pitch," 19.1377434, 47.5488459 "
5386,Polygon,pitch," 19.1378528, 47.5489314 "
5387,Polygon,playground," 19.1372138, 47.5487542 "
5388,Polygon,playground," 19.1386739, 47.5474359 "
5389,Polygon,pitch," 19.1386679, 47.5473348 "
5390,Polygon,pitch," 19.1435137, 47.5463194 "
5391,Polygon,dog_park," 19.1437737, 47.5461722 "
5392,Polygon,pitch," 19.1446714, 47.5456784 "
5393,Polygon,pitch," 19.1444453, 47.5454967 "
5394,Polygon,playground," 19.141881, 47.5446916 "
5395,Polygon,playground," 19.1418187, 47.5444327 "
5396,Polygon,pitch," 19.0700426, 47.624681 "
5397,Polygon,pitch," 19.0703881, 47.6246619 "
5398,Polygon,stadium," 19.1806456, 47.4391494 "
5399,Polygon,park," 19.0161733, 47.4636755 "
5400,Polygon,pitch," 19.0176666, 47.5732867 "
5401,Polygon,dog_park," 19.1507201, 47.4553222 "
5403,Polygon,sports_centre," 18.9722219, 47.501154 "
5404,Polygon,pitch," 19.0006691, 47.5497669 "
5405,Polygon,park," 19.2652001, 47.4070406 "
5406,Polygon,park," 19.0359888, 47.42859 "
5407,Polygon,park," 19.0359163, 47.4292776 "
5408,Polygon,park," 19.0312373, 47.4481606 "
5409,Polygon,playground," 19.0325437, 47.4477399 "
5411,Polygon,playground," 19.1132837, 47.5861697 "
5412,Polygon,pitch," 19.0908098, 47.5119158 "
