id,poi shape,poi type,coordinate
1495,Point,bus_stop," 19.0129152, 47.5242651 "
1496,Point,bus_stop," 19.0210742, 47.5211331 "
1497,Point,bus_stop," 19.0217086, 47.5201205 "
1500,Point,bus_stop," 19.0174346, 47.5228545 "
1503,Point,bus_stop," 19.0174428, 47.5227192 "
1504,Point,bus_stop," 19.0204868, 47.5217217 "
1593,Point,bus_stop," 18.9195523, 47.433279 "
1615,Point,bus_stop," 18.9561255, 47.4617 "
1616,Point,bus_stop," 18.9621859, 47.462449 "
1618,Point,bus_stop," 18.8909686, 47.3985241 "
1619,Point,bus_stop," 18.8946807, 47.3953836 "
1620,Point,bus_stop," 18.8942523, 47.3958427 "
1621,Point,bus_stop," 18.8914669, 47.3982768 "
1622,Point,bus_stop," 18.8875956, 47.4018893 "
1623,Point,bus_stop," 18.8885131, 47.400612 "
1624,Point,bus_stop," 18.8834967, 47.4074106 "
1625,Point,bus_stop," 18.8838289, 47.4067481 "
1626,Point,bus_stop," 18.8817524, 47.4105745 "
1627,Point,bus_stop," 18.8813142, 47.4100721 "
1628,Point,bus_stop," 18.8899134, 47.4161999 "
1629,Point,bus_stop," 18.8898557, 47.4159508 "
1630,Point,bus_stop," 18.8951055, 47.4141425 "
1631,Point,bus_stop," 18.895107, 47.4147377 "
1632,Point,bus_stop," 18.8740179, 47.4212397 "
1633,Point,bus_stop," 18.8669806, 47.4276058 "
1634,Point,bus_stop," 18.870046, 47.4244563 "
1635,Point,bus_stop," 18.8732752, 47.4260731 "
1636,Point,bus_stop," 18.86907, 47.4279245 "
1637,Point,bus_stop," 18.8765342, 47.419197 "
1638,Point,bus_stop," 18.8838326, 47.4213886 "
1639,Point,bus_stop," 18.8816497, 47.4223736 "
1640,Point,bus_stop," 18.8765648, 47.4245879 "
1641,Point,bus_stop," 18.8903903, 47.4184875 "
1642,Point,bus_stop," 18.8871297, 47.419923 "
1643,Point,bus_stop," 18.8941777, 47.4209241 "
1644,Point,bus_stop," 18.8943631, 47.4210596 "
1645,Point,bus_stop," 18.8950749, 47.4267614 "
1646,Point,bus_stop," 18.8946236, 47.4267651 "
1647,Point,bus_stop," 18.9063033, 47.3822036 "
1648,Point,bus_stop," 18.906853, 47.3824297 "
1649,Point,bus_stop," 18.9133981, 47.3832993 "
1650,Point,bus_stop," 18.91311, 47.3834806 "
1651,Point,bus_stop," 18.9007907, 47.3887324 "
1652,Point,bus_stop," 18.9010624, 47.3884747 "
1653,Point,bus_stop," 18.9023697, 47.3860714 "
1654,Point,bus_stop," 18.9020025, 47.3868554 "
1655,Point,bus_stop," 18.8990038, 47.391813 "
1656,Point,bus_stop," 18.8995039, 47.3909107 "
1657,Point,bus_stop," 18.9224052, 47.3818171 "
1658,Point,bus_stop," 18.9246077, 47.3795699 "
1659,Point,bus_stop," 18.924711, 47.3795869 "
1660,Point,bus_stop," 18.9248143, 47.379604 "
1661,Point,bus_stop," 18.9249175, 47.379621 "
1662,Point,bus_stop," 18.9250208, 47.379638 "
1663,Point,bus_stop," 18.9251241, 47.3796551 "
1664,Point,bus_stop," 18.9252274, 47.3796721 "
1665,Point,bus_stop," 18.9253307, 47.3796891 "
1666,Point,bus_stop," 18.925434, 47.3797062 "
1667,Point,bus_stop," 18.9255372, 47.3797232 "
1668,Point,bus_stop," 18.9256405, 47.3797402 "
1669,Point,bus_stop," 18.9330788, 47.378807 "
1670,Point,bus_stop," 18.9349119, 47.3786334 "
1671,Point,bus_stop," 18.9254116, 47.3899569 "
1672,Point,bus_stop," 18.9253521, 47.3899054 "
1673,Point,bus_stop," 18.9351337, 47.3859652 "
1674,Point,bus_stop," 18.935212, 47.3852085 "
1675,Point,bus_stop," 18.9364563, 47.392866 "
1676,Point,bus_stop," 18.9365825, 47.3930733 "
1677,Point,bus_stop," 18.910643, 47.4052985 "
1678,Point,bus_stop," 18.9108521, 47.4050119 "
1679,Point,bus_stop," 18.9159747, 47.4007447 "
1680,Point,bus_stop," 18.915532, 47.4012035 "
1681,Point,bus_stop," 18.9032492, 47.4091795 "
1682,Point,bus_stop," 18.9028705, 47.4096357 "
1683,Point,bus_stop," 18.9217444, 47.395463 "
