,price_per_sqm,apartment,house,number_of_whole_rooms,floor,number_of_half_rooms,furnish_furnished,view_panoramic,view_street,balcony,lift,air_conditioner,utility_double_comfort,heating_gas,heating_wall_heating,heating_central_heating,heating_electric,heating_floor,heating_circulating,heating_district,condition_of_property_renovated,longitude,latitude,data_index,cluster
850,9.833333332999999,1,0,2.0,5.0,1.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.055611399999997,47.4981638,850,0
857,24.0,1,0,1.0,3.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0593367,47.501551899999995,857,2
859,10.11538462,1,0,2.0,7.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.072605,47.5357852,859,3
887,7.86440678,1,0,2.0,1.0,0.0,0.0,0,1,1.0,1.0,1.0,0,1,0,0,0.0,0.0,0.0,0.0,1,19.052016300000002,47.5007607,887,7
893,21.62162162,1,0,5.0,1.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0331336,47.4990907,893,1
908,9.236111111,1,0,2.0,3.0,0.0,1.0,0,1,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0514866,47.5119888,908,0
923,11.48571429,1,0,1.0,4.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.0483431,47.504385299999996,923,5
957,12.62244898,1,0,3.0,7.0,1.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0546974,47.4909373,957,5
976,7.571428571,1,0,2.0,9.0,0.0,0.0,0,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.162318,47.4716382,976,3
978,8.5,1,0,2.0,3.0,1.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.060129,47.502767999999996,978,0
1046,11.38947368,1,0,3.0,4.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.032273,47.497532,1046,5
1068,8.888888889,1,0,2.0,4.0,0.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0516294,47.506122600000005,1068,0
1080,12.06097561,1,0,2.0,6.0,1.0,1.0,1,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.0515638,47.494310799999994,1080,5
1089,8.828571429,1,0,1.0,2.0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0596086,47.521267200000004,1089,7
1100,14.14141414,1,0,3.0,4.0,0.0,1.0,0,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.056261499999998,47.4881889,1100,5
1102,13.79310345,1,0,3.0,3.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.041275100000004,47.497055200000005,1102,5
1140,9.740740741,1,0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.071395499999998,47.5221461,1140,7
1158,9.872340426000001,1,0,1.0,1.0,1.0,0.0,0,1,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0633949,47.5023351,1158,4
1159,16.48888889,1,0,2.0,3.0,1.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.046682999999998,47.504896,1159,8
1164,17.83333333,1,0,2.0,3.0,1.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.049021,47.502012,1164,1
1205,6.628571429,1,0,2.0,4.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0709266,47.5355105,1205,0
1213,8.66,1,0,2.0,3.0,0.0,1.0,0,0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.1293391,47.5038505,1213,0
1220,9.804878049,1,0,1.0,3.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.066104,47.4984575,1220,0
1229,8.553191489,1,0,1.0,3.0,1.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.2028003,47.5060018,1229,0
1232,11.30487805,1,0,3.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0601955,47.522484000000006,1232,4
1234,10.2,1,0,3.0,5.0,1.0,0.0,1,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.051319,47.493570399999996,1234,0
1243,17.0,1,0,2.0,1.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0704538,47.510053000000006,1243,8
1247,16.04938272,1,0,2.0,3.0,0.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0540843,47.494279999999996,1247,8
1248,11.12,1,0,2.0,2.0,0.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0838168,47.4781943,1248,4
1250,10.86486486,1,0,1.0,3.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0761401,47.4895974,1250,0
