,price_per_sqm,number_of_whole_rooms,floor,number_of_half_rooms,furnish_furnished,view_panoramic,view_street,balcony,lift,air_conditioner,heating_gas,heating_wall_heating,heating_central_heating,heating_electric,heating_floor,heating_circulating,heating_district,condition_of_property_renovated,longitude,latitude,data_index,cluster
857,24.0,1.0,3.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0593367,47.501551899999995,857,2
859,10.11538462,2.0,7.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.072605,47.5357852,859,7
887,7.86440678,2.0,1.0,0.0,0.0,0,1,1.0,1.0,1.0,1,0,0,0.0,0.0,0.0,0.0,1,19.052016300000002,47.5007607,887,1
893,21.62162162,5.0,1.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0331336,47.4990907,893,2
908,9.236111111,2.0,3.0,0.0,1.0,0,1,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0514866,47.5119888,908,4
923,11.48571429,1.0,4.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0483431,47.504385299999996,923,4
957,12.62244898,3.0,7.0,1.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0546974,47.4909373,957,3
976,7.571428571,2.0,9.0,0.0,0.0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.162318,47.4716382,976,7
978,8.5,2.0,3.0,1.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.060129,47.502767999999996,978,4
1046,11.38947368,3.0,4.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.032273,47.497532,1046,4
1068,8.888888889,2.0,4.0,0.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0516294,47.506122600000005,1068,4
1080,12.06097561,2.0,6.0,1.0,1.0,1,0,1.0,1.0,1.0,0,0,1,0.0,0.0,0.0,0.0,0,19.0515638,47.494310799999994,1080,3
1089,8.828571429,1.0,2.0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0596086,47.521267200000004,1089,1
