,price_per_sqm,apartment,number_of_whole_rooms,number_of_half_rooms,floor,longitude,latitude,data_index,cluster
79,10.12068966,1,2.0,0.0,0.5,19.0686577,47.4903495,79,2
80,12.93023256,1,2.0,0.0,3.0,19.072991100000003,47.4759809,80,3
81,9.271428571,1,3.0,0.0,2.0,19.03637286,47.53655953,81,0
82,6.80952381,1,4.0,2.0,2.0,19.031952399999998,47.5068754,82,0
83,28.02666667,1,3.0,0.0,6.0,19.0561494,47.4974188,83,5
84,20.80769231,1,2.0,0.0,1.5,19.054008399999997,47.506842,84,1
85,10.2,1,2.0,1.0,6.0,19.0515483,47.493395899999996,85,4
86,12.5,1,2.0,1.0,6.0,19.060283,47.4929646,86,4
87,12.88333333,1,2.0,0.0,3.0,19.035156100000002,47.5152459,87,3
88,10.30666667,1,2.0,0.0,2.0,19.013460199999997,47.5378644,88,2
