ID,poi shape,poi type,coordinate,shop_types,longitude,latitude
9080,Point,convenience,"   19.2328227, 47.4571086  ","Food, beverages",19.2328227,47.4571086
9082,Point,alcohol,"   19.1294072, 47.6346753  ","Food, beverages",19.1294072,47.6346753
9083,Point,alcohol,"   19.3532625, 47.4443443  ","Food, beverages",19.3532625,47.4443443
9084,Point,convenience,"   19.0546805, 47.6170296  ","Food, beverages",19.0546805,47.6170296
9085,Point,convenience,"   19.0290252, 47.5500175  ","Food, beverages",19.0290252,47.5500175
9086,Point,convenience,"   19.0172531, 47.413276  ","Food, beverages",19.0172531,47.413276
9087,Point,convenience,"   18.949494, 47.4087664  ","Food, beverages",18.949494,47.4087664
9088,Point,convenience,"   19.1230767, 47.5664213  ","Food, beverages",19.1230767,47.5664213
9089,Point,convenience,"   19.266342, 47.4132505  ","Food, beverages",19.266342,47.4132505
9090,Point,convenience,"   19.19191, 47.619283  ","Food, beverages",19.19191,47.619283
9091,Point,convenience,"   19.0849621, 47.3573114  ","Food, beverages",19.0849621,47.3573114
9092,Point,convenience,"   19.0689484, 47.3387901  ","Food, beverages",19.0689484,47.3387901
9095,Point,convenience,"   19.0506676, 47.6306061  ","Food, beverages",19.0506676,47.6306061
9096,Point,convenience,"   19.101794, 47.4371478  ","Food, beverages",19.101794,47.4371478
9097,Point,convenience,"   19.1293011, 47.4852662  ","Food, beverages",19.1293011,47.4852662
9098,Point,convenience,"   19.2626262, 47.4775251  ","Food, beverages",19.2626262,47.4775251
9099,Point,convenience,"   19.0511392, 47.4600307  ","Food, beverages",19.0511392,47.4600307
9100,Point,convenience,"   19.0425602, 47.473297  ","Food, beverages",19.0425602,47.473297
9101,Point,convenience,"   19.0271431, 47.507637  ","Food, beverages",19.0271431,47.507637
9103,Point,convenience,"   19.1385709, 47.5438375  ","Food, beverages",19.1385709,47.5438375
9104,Point,convenience,"   19.1267851, 47.5463918  ","Food, beverages",19.1267851,47.5463918
9105,Point,convenience,"   19.1635181, 47.6195536  ","Food, beverages",19.1635181,47.6195536
9108,Point,convenience,"   19.0394755, 47.5017716  ","Food, beverages",19.0394755,47.5017716
9110,Point,convenience,"   18.9144749, 47.4332625  ","Food, beverages",18.9144749,47.4332625
9112,Point,convenience,"   19.043779, 47.5618193  ","Food, beverages",19.043779,47.5618193
9115,Point,convenience,"   19.053348, 47.6171912  ","Food, beverages",19.053348,47.6171912
9116,Point,convenience,"   19.0140055, 47.459178  ","Food, beverages",19.0140055,47.459178
