id,price_per_sqm,apartment,number_of_whole_rooms,number_of_half_rooms,apartment_floor,longitude,latitude,location_district,furnish_furnished,lift,view_total,heating_total,air_conditioner,cluster
522,8.057971014,1,3,0,4,19.1928789,47.5102334,XVI,1,,street,,0,0
529,7.274509804,1,1,0,0,19.0764106,47.506819,VII,0,,,,0,0
536,9.266666667,1,2,0,3,19.1263377,47.4867755,X,1,,,,0,0
541,8.285714286,1,2,0,2,19.0710192,47.4936185,VIII,0,,street,,0,0
543,9.444444444,1,2,0,2,19.0697291,47.4944575,VIII,1,,,,0,0
545,5.56,1,1,0,1,19.0295821,47.4830447,XI,1,,,,0,0
546,6.036585366,1,2,0,3,19.0787066,47.5126825,VI,1,,street,,0,0
547,7.305555556,1,1,0,2,19.06921382,47.424317,XXI,1,,street,,0,0
551,9.275,1,1,0,2,19.0531874,47.5214557,XIII,1,,,,0,0
554,7.58490566,1,1,2,2,19.1368449,47.4566579,XIX,0,1,street,,0,0
557,7.022727273,1,1,0,1,19.1399566,47.4458154,XIX,0,,street,,0,0
558,6.588235294,1,4,0,0,19.0511577,47.5808584,III,0,,garden,,0,0
560,9.098039216,1,3,2,2,19.1118896,47.5048564,XIV,1,,street,,0,0
561,8.592592593,1,1,2,2,19.0925857,47.5430507,XIII,0,,street,,0,0
563,8.114754098,1,2,0,2,19.0794026,47.5083811,VII,1,1,street,central,0,0
565,7.391304348,1,4,0,2,19.0665471,47.5038959,VI,1,1,street,,0,0
567,7.483870968,1,2,0,1,19.0622985,47.5077558,VI,1,1,street,,0,0
572,9.333333333,1,2,0,2,19.0576374,47.5089287,VI,1,,street,,0,0
587,6.881818182,1,3,0,2,19.1123568,47.5133617,XIV,0,,street,,0,0
603,8.6875,1,1,0,3,19.082419,47.508214,VII,1,,,,0,0
655,7.305555556,1,1,0,2,19.072355,47.428122,XXI,1,,street,,0,0
658,4.785714286,1,2,1,3,19.0847853,47.4934215,VIII,0,,street,,0,0
660,7.013333333,1,2,1,3,19.0316085,47.5103902,II,0,,street,,0,0
673,8.992805755,1,4,0,2,19.0697088,47.4875996,VIII,1,,street,floor,0,0
679,8.114754098,1,2,0,3,19.079233,47.508737,VII,1,,street,,0,0
686,6.95,1,2,1,1,18.998787,47.5284725,II,0,,panoramic,,0,0
688,8.927835052,1,2,0,2,19.039273,47.4750127,XI,0,,street,,0,0
689,7.013333333,1,2,1,3,19.1068045,47.5036971,XIV,0,,,,0,0
690,7.73,1,3,0,1,18.993483,47.5260406,II,0,,garden,,0,0
701,4.785714286,1,2,1,3,19.0847853,47.4934215,VIII,0,,street,,0,0
702,7.514285714,1,3,0,1,19.0654443,47.5372357,XIII,1,,street,,0,0
707,9.266666667,1,2,0,0.5,19.0654443,47.5372357,XIII,1,,street,,0,0
708,7.626666667,1,3,0,-0.5,19.0838168,47.4781943,IX,1,,street,,0,0
