ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF millions),Size(sqm),Price per sqm (HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Garden access,Balcony,Attic,Attic: Loft conversion,Transportation,Latitude,Longitude
1317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9,60,448333.3333, Poprád utca,-1,-1,1,street view,0,0,1,-1,not available,0,3 room,3,0,needs renovation,0,0,0,0,1,0,full comfort,0,1,0,-1,1,-1,combination boiler,0,0,1,0,no,separate,1,0,-1,-1,-1,-1,-1, Busz   183   200E   93   900   ,47.44617,19.21268
1318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,70,512857.1429, Kispest-Kertváros,-1,-1,1,not specified,0,0,0,-1,not available,0,2 room,2,0,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,1,-1,combination boiler,0,0,1,0,not specified,together,0,1,-1,-1,-1,loft conversion possible,1,-1,47.433563,19.159967
1319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,164,1146341.463, Pestújhely,-1,-1,1,garden view,1,0,0,-1,available,1,6 room,6,0,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,2,-1,ceiling heating / cooling,0,0,0,1,no,separate and together too,1,0,-1,-1,-1,loft conversion not possible,0,-1,47.53783,19.130045
1320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,330,833333.3333, Rózsadomb,-1,-1,-1,panoramic,0,1,0,-1,-1,-1,7 room,7,0,needs renovation,0,0,0,0,1,0,double comfort,1,0,0,-1,2,-1,natural gas boiler,1,0,0,0,not specified,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.517323,19.0284
1321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,424,754716.9811, Sövény utca,-1,-1,1,panoramic,0,1,0,-1,available,1,8 room,8,0,mint,0,0,0,0,0,1,not specified,0,0,0,-1,3,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1, Busz   5   149   ,47.52357,18.99803
1322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454.45,1250,1163560, Magasút,-1,-1,1,panoramic,0,1,0,-1,available,1,11 room,11,0,mint,0,0,0,0,0,1,not specified,0,0,0,-1,4,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.480064,18.98671
1323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5,130,296153.8462, Újpéteritelep,-1,-1,1,street view,0,0,1,-1,not available,0,5 room,5,0,in good condition,0,1,0,0,0,0,not specified,0,0,0,-1,1,-1,combination boiler,0,0,1,0,not specified,separate,1,0,-1,-1,-1,-1,-1,-1,47.40805,19.192133
1324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9,140,463571.4286, Hársfa utca,-1,-1,1,garden view,1,0,0,-1,not available,0,4 room,4,0,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,1,-1,combination boiler,0,0,1,0,not specified,separate and together too,1,0,-1,-1,-1,loft conversion not possible,0, Busz   182   184   ,47.4478,19.17944
1325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.06,500,1422120, Sashegy,-1,-1,1,panoramic,0,1,0,-1,available,1,4 room,4,0,mint,0,0,0,0,0,1,not specified,0,0,0,-1,4,-1,fan-coil,0,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.48056,19.020111
1326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,460,500000, Sasad,-1,-1,1,garden view,1,0,0,-1,available,1,10 room,10,0,renovated,0,0,1,0,0,0,not specified,0,0,0,-1,3,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.475895,19.006678
