ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF per month),Size(sqm),Price per sqm (HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Lift,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Furnished,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Heating: central heating,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Orientation: North,Orientation: South,Orientation: East,Orientation: West,Orientation: Northeast,Orientation: Northwest,Orientation: Southwest,Orientation: Southeast,Garden access,Balcony,Attic,Attic: Loft conversion,Transportation,Latitude,Longitude
109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034272,510,2027.984314, Istenhegy,-1,-1,1,panoramic,0,1,0,-1,-1,available,1,5 room,5,0,mint,0,0,0,0,0,1,luxury,0,0,1,-1,0,3,-1,not specified,0,0,0,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.50405,18.999819
110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357482,250,5429.928, II/A kerület – Széphalom,-1,-1,1,garden view,1,0,0,-1,-1,-1,-1,6 room,6,0,newly built,1,0,0,0,0,0,luxury,0,0,1,-1,0,2,-1,combination boiler,0,0,1,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.559986,18.959665
111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355000,310,4370.967742, II/A kerület – Budaliget,-1,-1,1,not specified,0,0,0,-1,-1,-1,-1,5 room,5,0,mint,0,0,0,0,0,1,luxury,0,0,1,-1,0,3,-1,combination boiler,0,0,1,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.56751,18.941212
112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1939260,500,3878.52, Rózsadomb,-1,-1,1,panoramic,0,1,0,-1,-1,available,1,13 + 1 half room,13,1,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,0,4,-1,combination boiler,0,0,1,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.517323,19.0284
113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,250,2400, Rómaifürdő,-1,-1,-1,garden view,1,0,0,-1,-1,-1,-1,5 room,5,0,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,0,3,-1,combination boiler,0,0,1,0,0,-1,separate,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.574738,19.05708
114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646420,390,1657.487179, Csillaghegy – Rókahegy,-1,-1,1,panoramic,0,1,0,-1,-1,-1,-1,5 room,5,0,in good condition,0,1,0,0,0,0,luxury,0,0,1,-1,1,4,-1,central heating,0,0,0,0,1,-1,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.592148,19.03574
115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,80,1250, Szent Imre-kertváros,-1,-1,1,garden view,1,0,0,-1,-1,-1,-1,2 room,2,0,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,0,3,-1,combination boiler,0,0,1,0,0,yes,separate,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.426834,19.207228
116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614099,200,3070.495, Mártonhegy,-1,-1,1,not specified,0,0,0,-1,-1,available,1,4 room,4,0,not specified,0,0,0,0,0,0,full comfort,0,1,0,-1,1,3,-1,not specified,0,0,0,0,0,-1,together,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.490086,19.001743
117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260519,330,3819.754545, II/A kerület – Adyliget,-1,-1,1,garden view,1,0,0,-1,-1,-1,-1,5 room,5,0,renovated,0,0,1,0,0,0,double comfort,1,0,0,-1,0,2,-1,combination boiler,0,0,1,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.54735,18.93912
118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265000,155,1709.677419, Rákosszentmihály,-1,-1,-1,not specified,0,0,0,-1,-1,-1,-1,4 room,4,0,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,0,2,-1,combination boiler,0,0,1,0,0,-1,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.527313,19.170956
119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937309,300,3124.363333, Konkoly-Thege Miklós út,-1,-1,1,garden view,1,0,0,-1,-1,-1,-1,6 room,6,0,not specified,0,0,0,0,0,0,luxury,0,0,1,-1,1,3,-1,combination boiler,0,0,1,0,0,-1,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1, Busz   21   ,47.49962,18.964556
120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260519,250,5042.076, Farkastorki út,-1,-1,1,panoramic,0,1,0,-1,-1,-1,-1,6 room,6,0,mint,0,0,0,0,0,1,luxury,0,0,1,-1,0,3,-1,combination boiler,0,0,1,0,0,no,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1, Busz   137   160   218   237   260   260A    Éjszakai   937   960   ,47.5534,19.02223
121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969630,320,3030.09375, Tisztviselőtelep,-1,-1,1,street view,0,0,1,-1,-1,available,1,7 room,7,0,renovated,0,0,1,0,0,0,luxury,0,0,1,-1,0,2,-1,natural gas boiler,1,0,0,0,0,no,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.480545,19.09756
122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711062,220,3232.1, Nagykovácsi út,-1,-1,1,panoramic,0,1,0,-1,-1,available,1,5 room,5,0,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,0,3,-1,natural gas boiler,1,0,0,0,0,-1,separate,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1, Busz   63    Éjszakai   963   ,47.54739,18.93746
123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808025,360,2244.513889, II/A kerület – Remetekertváros,-1,-1,1,panoramic,0,1,0,-1,-1,available,1,8 room,8,0,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,0,4,-1,combination boiler,0,0,1,0,0,no,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.551865,18.95662
124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228198,300,4093.993333, Nyék,-1,-1,-1,garden view,1,0,0,-1,-1,available,1,5 room,5,0,renovated,0,0,1,0,0,0,double comfort,1,0,0,-1,0,4,-1,combination boiler,0,0,1,0,0,no,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.53556,18.987955
125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080000,90,12000, Belsőmajor,-1,-1,1,street view,0,0,1,-1,-1,-1,-1,3 room,3,0,mint,0,0,0,0,0,1,full comfort,0,1,0,-1,1,1,-1,combination boiler,0,0,1,0,0,-1,separate,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion not possible,0,-1,47.396362,19.191326
126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1939260,570,3402.210526, II/A kerület – Adyliget,-1,-1,1,panoramic,0,1,0,-1,-1,available,1,6 room,6,0,renovated,0,0,1,0,0,0,luxury,0,0,1,-1,0,3,-1,gáz (cirko),1,0,0,0,0,-1,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.54735,18.93912
