Unnamed: 0,poi shape,poi type,coordinate,shop_types
93,Polygon,mall,"[19.2439916, 47.542152]",Mall
94,Polygon,sports,"[19.2458769, 47.5385465]",others
95,Polygon,supermarket,"[19.1628169, 47.5818405]",Supermarket
96,Polygon,supermarket,"[19.2165644, 47.5039879]",Supermarket
97,Polygon,car_parts,"[18.8845749, 47.4463047]",others
98,Polygon,electronics,"[18.8859902, 47.4457696]",others
99,Polygon,paint,"[18.8854266, 47.4460178]",others
100,Polygon,supermarket,"[18.8849111, 47.4449599]",Supermarket
101,Polygon,supermarket,"[19.2751396, 47.4728775]",Supermarket
102,Polygon,supermarket,"[19.0376855, 47.5532589]",Supermarket
103,Polygon,supermarket,"[19.1815465, 47.406785]",Supermarket
104,Polygon,supermarket,"[19.0254394, 47.3818478]",Supermarket
105,Polygon,supermarket,"[19.0667893, 47.4273108]",Supermarket
106,Polygon,supermarket,"[19.1535498, 47.4861949]",Supermarket
107,Polygon,doityourself,"[19.0418652, 47.4370109]",others
108,Polygon,mall,"[19.0403166, 47.4359544]",Mall
109,Polygon,supermarket,"[19.0371503, 47.4434929]",Supermarket
110,Polygon,supermarket,"[19.0070907, 47.4485489]",Supermarket
111,Polygon,supermarket,"[19.0336769, 47.4678962]",Supermarket
112,Polygon,chemist,"[19.0388718, 47.427801]",Beauty
113,Polygon,supermarket,"[19.0397926, 47.4565629]",Supermarket
114,Polygon,car_parts,"[19.0394494, 47.4563171]",others
115,Polygon,hardware,"[18.8940149, 47.4460784]",others
116,Polygon,mall,"[19.0509298, 47.458506]",Mall
117,Polygon,mall,"[19.0148348, 47.4064042]",Mall
118,Polygon,mall,"[19.2489403, 47.4164287]",Mall
119,Polygon,mall,"[19.0054601, 47.4666265]",Mall
120,Polygon,fabric,"[19.1437946, 47.5473203]","Clothing, shoes, accessories"
121,Polygon,car,"[19.1113769, 47.3877075]",others
122,Polygon,bicycle,"[18.9197522, 47.4334374]",others
123,Polygon,mall,"[19.0673522, 47.424516]",Mall
124,Polygon,supermarket,"[19.0548489, 47.4142436]",Supermarket
125,Polygon,supermarket,"[19.0638131, 47.4173094]",Supermarket
126,Polygon,yes,"[19.0560959, 47.380406]",others
127,Polygon,yes,"[19.023588, 47.363011]",others
128,Polygon,mall,"[19.0491917, 47.4761316]",Mall
129,Polygon,supermarket,"[19.12195, 47.5610722]",Supermarket
130,Polygon,car,"[19.1342305, 47.5519311]",others
131,Polygon,supermarket,"[19.1003131, 47.5642952]",Supermarket
132,Polygon,butcher,"[19.1098255, 47.5635808]","food, beverages"
133,Polygon,doityourself,"[19.0972489, 47.5673702]",others
134,Polygon,furniture,"[19.0977322, 47.5660346]",others
135,Polygon,supermarket,"[19.0899213, 47.5601895]",Supermarket
136,Polygon,mall,"[19.0889712, 47.5609728]",Mall
137,Polygon,kiosk,"[19.0901938, 47.5596381]",Convenience shop
138,Polygon,supermarket,"[19.099159, 47.5579517]",Supermarket
139,Polygon,chemist,"[19.0813014, 47.5317119]",Beauty
140,Polygon,supermarket,"[19.0946163, 47.5551333]",Supermarket
141,Polygon,furniture,"[19.0997439, 47.5554389]",others
142,Polygon,chemist,"[19.1059287, 47.5603145]",Beauty
143,Polygon,supermarket,"[19.0930325, 47.5644564]",Supermarket
144,Polygon,car,"[19.0900337, 47.5554136]",others
145,Polygon,supermarket,"[19.0571235, 47.5258952]",Supermarket
146,Polygon,car_repair,"[19.0892866, 47.5462845]",others
147,Polygon,nutrition_supplements,"[19.081192, 47.5350569]",Health
148,Polygon,yes,"[19.0793214, 47.560731]",others
149,Polygon,bakery,"[19.0890427, 47.5453805]","food, beverages"
150,Polygon,car,"[19.0640946, 47.5279041]",others
151,Polygon,doityourself,"[19.3371693, 47.4570007]",others
152,Polygon,car_parts,"[19.0806102, 47.5338762]",others
153,Polygon,car,"[19.0758391, 47.5366267]",others
154,Polygon,supermarket,"[19.0801619, 47.531641]",Supermarket
155,Polygon,supermarket,"[19.0930147, 47.5403931]",Supermarket
156,Polygon,convenience,"[19.0740374, 47.5326226]","food, beverages"
157,Polygon,sports,"[19.0690767, 47.5390376]",others
158,Polygon,tobacco,"[19.1132312, 47.5452482]",others
159,Polygon,supermarket,"[19.1446252, 47.4272383]",Supermarket
160,Polygon,supermarket,"[19.1171027, 47.6056705]",Supermarket
161,Polygon,department_store,"[19.1628546, 47.4131694]",Department Store
162,Polygon,furniture,"[19.1605149, 47.4169325]",others
163,Polygon,sports,"[19.1554462, 47.4209715]",others
164,Polygon,doityourself,"[19.1620608, 47.4131619]",others
165,Polygon,supermarket,"[19.1034448, 47.5742631]",Supermarket
166,Polygon,florist,"[19.0854945, 47.5265402]",others
167,Polygon,supermarket,"[19.060097, 47.5297907]",Supermarket
168,Polygon,supermarket,"[19.0687049, 47.5287504]",Supermarket
169,Polygon,car_repair,"[19.0699617, 47.529388]",others
170,Polygon,furniture,"[19.077889, 47.524016]",others
171,Polygon,supermarket,"[19.0785373, 47.4660661]",Supermarket
172,Polygon,car_parts,"[19.1090384, 47.5802338]",others
173,Polygon,supermarket,"[19.1160165, 47.5852309]",Supermarket
174,Polygon,supermarket,"[19.1127853, 47.5867857]",Supermarket
175,Polygon,car,"[19.0418293, 47.4285113]",others
176,Polygon,supermarket,"[19.0895188, 47.5862284]",Supermarket
177,Polygon,supermarket,"[19.1624112, 47.4739037]",Supermarket
178,Polygon,supermarket,"[19.0562353, 47.5201715]",Supermarket
179,Polygon,car,"[19.0561708, 47.5224273]",others
180,Polygon,kiosk,"[19.0534638, 47.5222944]",Convenience shop
181,Polygon,stationery,"[19.0911005, 47.5652206]","Stationery, gifts, books, newspapers"
182,Polygon,greengrocer,"[19.0900076, 47.5862165]","food, beverages"
183,Polygon,supermarket,"[19.1146173, 47.578874]",Supermarket
184,Polygon,outdoor,"[19.0620979, 47.5206299]",others
185,Polygon,supermarket,"[19.0674229, 47.4310999]",Supermarket
186,Polygon,car,"[19.055878, 47.5218436]",others
187,Polygon,supermarket,"[19.002755, 47.3996075]",Supermarket
188,Polygon,supermarket,"[19.0051519, 47.3993367]",Supermarket
189,Polygon,furniture,"[18.9386056, 47.4542858]",others
190,Polygon,supermarket,"[19.0799345, 47.5662207]",Supermarket
191,Polygon,furniture,"[19.079879, 47.5681748]",others
192,Polygon,car,"[19.0782232, 47.5636895]",others
193,Polygon,car,"[19.0788126, 47.5649563]",others
194,Polygon,doityourself,"[19.0781562, 47.5717836]",others
195,Polygon,supermarket,"[18.9122269, 47.3957058]",Supermarket
196,Polygon,supermarket,"[18.9251243, 47.3865551]",Supermarket
197,Polygon,tyres,"[19.0804706, 47.5683308]",others
198,Polygon,car_repair,"[19.1252258, 47.5573658]",others
199,Polygon,supermarket,"[19.1177698, 47.3442241]",Supermarket
200,Polygon,car,"[18.9993572, 47.4621525]",others
201,Polygon,garden_centre,"[18.994517, 47.4286293]",others
202,Polygon,supermarket,"[19.0404025, 47.4372275]",Supermarket
203,Polygon,supermarket,"[19.0476806, 47.3690964]",Supermarket
204,Polygon,doityourself,"[19.0214447, 47.3854895]",others
205,Polygon,supermarket,"[19.0384484, 47.3441177]",Supermarket
206,Polygon,convenience,"[19.1269583, 47.5681402]","food, beverages"
207,Polygon,supermarket,"[19.0456405, 47.3560656]",Supermarket
208,Polygon,florist,"[19.1773022, 47.4581029]",others
209,Polygon,supermarket,"[19.2841446, 47.470882]",Supermarket
210,Polygon,mall,"[19.0245713, 47.5084753]",Mall
211,Polygon,car,"[19.321888, 47.3888793]",others
212,Polygon,convenience,"[19.0625121, 47.5192846]","food, beverages"
213,Polygon,car_repair,"[18.9417143, 47.419455]",others
214,Polygon,computer,"[19.0665397, 47.5268764]",others
215,Polygon,convenience,"[19.0348586, 47.4832824]","food, beverages"
216,Polygon,supermarket,"[19.166411, 47.6212582]",Supermarket
217,Polygon,garden_centre,"[19.0064198, 47.4466068]",others
218,Polygon,garden_centre,"[18.8845053, 47.4133283]",others
219,Polygon,supermarket,"[19.1177656, 47.3477823]",Supermarket
220,Polygon,supermarket,"[19.1168873, 47.3469654]",Supermarket
221,Polygon,supermarket,"[19.0479472, 47.5807196]",Supermarket
222,Polygon,supermarket,"[19.0677754, 47.618278]",Supermarket
223,Polygon,tiles,"[18.952199, 47.4074514]",others
224,Polygon,supermarket,"[19.0782749, 47.5698893]",Supermarket
225,Polygon,supermarket,"[18.9272024, 47.5979524]",Supermarket
226,Polygon,supermarket,"[19.3404378, 47.6085978]",Supermarket
227,Polygon,sports,"[19.3385072, 47.4612111]",others
228,Polygon,mall,"[19.3383894, 47.609365]",Mall
229,Polygon,supermarket,"[19.0389769, 47.425596]",Supermarket
230,Polygon,supermarket,"[19.1805819, 47.520872]",Supermarket
231,Polygon,convenience,"[19.3542387, 47.3910444]","food, beverages"
232,Polygon,mall,"[19.1405, 47.5035073]",Mall
233,Polygon,supermarket,"[19.0751459, 47.4357566]",Supermarket
234,Polygon,supermarket,"[19.158068, 47.4655005]",Supermarket
235,Polygon,convenience,"[19.0382096, 47.5463671]","food, beverages"
236,Polygon,trade,"[18.8979638, 47.5719839]",others
237,Polygon,greengrocer,"[19.0162887, 47.5230466]","food, beverages"
238,Polygon,supermarket,"[19.3741688, 47.5868394]",Supermarket
239,Polygon,doityourself,"[19.0755605, 47.4675037]",others
240,Polygon,supermarket,"[19.0717535, 47.4841277]",Supermarket
241,Polygon,trade,"[19.0078533, 47.4285639]",others
242,Polygon,trade,"[19.0041615, 47.4280554]",others
243,Polygon,mall,"[19.0057819, 47.5292183]",Mall
244,Polygon,confectionery,"[18.8773118, 47.5761927]","food, beverages"
245,Polygon,toys,"[18.8740295, 47.5764889]",others
246,Polygon,supermarket,"[19.1466017, 47.437443]",Supermarket
247,Polygon,car,"[19.142997, 47.4374086]",others
248,Polygon,convenience,"[18.8832595, 47.5756721]","food, beverages"
249,Polygon,beauty,"[18.8849129, 47.5761013]",Beauty
250,Polygon,clothes,"[18.8810057, 47.5761034]","Clothing, shoes, accessories"
251,Polygon,garden_centre,"[18.8885773, 47.5757499]",others
252,Polygon,supermarket,"[19.1732561, 47.4312119]",Supermarket
253,Polygon,car_parts,"[19.1581639, 47.4513868]",others
254,Polygon,car,"[19.1584469, 47.4507278]",others
255,Polygon,hairdresser,"[18.9048356, 47.4452762]",Beauty
256,Polygon,supermarket,"[19.1077754, 47.4957684]",Supermarket
257,Polygon,florist,"[19.0340993, 47.4230635]",others
258,Polygon,paint,"[19.0343465, 47.4139883]",others
259,Polygon,car_repair,"[19.0354169, 47.414868]",others
260,Polygon,supermarket,"[19.0498458, 47.5800387]",Supermarket
261,Polygon,garden_centre,"[19.051223, 47.5797533]",others
262,Polygon,car_repair,"[19.0484218, 47.5797261]",others
263,Polygon,supermarket,"[19.1333361, 47.5665915]",Supermarket
264,Polygon,convenience,"[19.2326934, 47.4794088]","food, beverages"
265,Polygon,convenience,"[19.2358804, 47.4849388]","food, beverages"
266,Polygon,convenience,"[19.2352371, 47.4844463]","food, beverages"
267,Polygon,furniture,"[19.233654, 47.4819539]",others
268,Polygon,hardware,"[19.2430687, 47.4820318]",others
269,Polygon,car_parts,"[19.2352856, 47.4850733]",others
270,Polygon,supermarket,"[19.243467, 47.4799861]",Supermarket
271,Polygon,mall,"[19.0114276, 47.5906952]",Mall
272,Polygon,car_repair,"[18.9272892, 47.6136398]",others
273,Polygon,doityourself,"[18.9115451, 47.6216189]",others
274,Polygon,furniture,"[19.0428698, 47.552574]",others
275,Polygon,car,"[19.045567, 47.5530925]",others
276,Polygon,supermarket,"[19.0205554, 47.56285]",Supermarket
277,Polygon,doityourself,"[19.1212146, 47.5063544]",others
278,Polygon,supermarket,"[19.1170075, 47.5042634]",Supermarket
279,Polygon,supermarket,"[19.1157502, 47.5064983]",Supermarket
280,Polygon,mall,"[19.0285302, 47.545962]",Mall
281,Polygon,clothes,"[19.1672467, 47.528366]","Clothing, shoes, accessories"
282,Polygon,supermarket,"[18.900959, 47.3220085]",Supermarket
283,Polygon,mall,"[19.0220097, 47.4907235]",Mall
284,Polygon,supermarket,"[19.0395705, 47.5569508]",Supermarket
285,Polygon,supermarket,"[19.0418273, 47.5548405]",Supermarket
286,Polygon,computer,"[19.03947, 47.5549969]",others
287,Polygon,mall,"[19.0608266, 47.6121262]",Mall
288,Polygon,supermarket,"[19.0698948, 47.4285121]",Supermarket
289,Polygon,convenience,"[19.0224181, 47.4410315]","food, beverages"
290,Polygon,garden_centre,"[19.1440416, 47.5047776]",others
291,Polygon,supermarket,"[19.1599506, 47.5342666]",Supermarket
292,Polygon,supermarket,"[19.2001425, 47.5054719]",Supermarket
293,Polygon,mall,"[19.1910874, 47.5100485]",Mall
294,Polygon,car_repair,"[19.1993329, 47.5131141]",others
295,Polygon,kiosk,"[19.1914548, 47.5103294]",Convenience shop
296,Polygon,supermarket,"[19.1867972, 47.5207767]",Supermarket
297,Polygon,supermarket,"[19.1601797, 47.4518173]",Supermarket
298,Polygon,supermarket,"[19.1157957, 47.4623404]",Supermarket
299,Polygon,bathroom_furnishing,"[19.2240079, 47.5189587]",others
300,Polygon,convenience,"[19.2200943, 47.5200293]","food, beverages"
301,Polygon,convenience,"[19.2179256, 47.5106393]","food, beverages"
302,Polygon,florist,"[19.2303995, 47.5189936]",others
303,Polygon,supermarket,"[19.211703, 47.5096934]",Supermarket
304,Polygon,kiosk,"[19.2056894, 47.5070156]",Convenience shop
305,Polygon,supermarket,"[19.1371734, 47.4914333]",Supermarket
306,Polygon,kiosk,"[19.204976, 47.5067021]",Convenience shop
307,Polygon,car_repair,"[18.9748522, 47.4415206]",others
308,Polygon,supermarket,"[19.1494893, 47.5090964]",Supermarket
309,Polygon,butcher,"[19.1465061, 47.5119861]","food, beverages"
310,Polygon,convenience,"[19.1427505, 47.5163458]","food, beverages"
311,Polygon,car_repair,"[19.1830837, 47.5033973]",others
312,Polygon,furniture,"[19.1449916, 47.5345947]",others
313,Polygon,car,"[19.1671763, 47.5216395]",others
314,Polygon,supermarket,"[19.1457095, 47.5101114]",Supermarket
315,Polygon,supermarket,"[19.0351214, 47.4417746]",Supermarket
316,Polygon,supermarket,"[19.0614482, 47.411534]",Supermarket
317,Polygon,carpet,"[19.0507383, 47.4011696]",others
318,Polygon,supermarket,"[19.0966389, 47.440651]",Supermarket
319,Polygon,car,"[19.0850838, 47.4366114]",others
320,Polygon,car,"[19.1468093, 47.4348588]",others
321,Polygon,convenience,"[19.0760147, 47.4343019]","food, beverages"
322,Polygon,convenience,"[19.0768052, 47.4338198]","food, beverages"
323,Polygon,florist,"[19.071028, 47.434962]",others
324,Polygon,bakery,"[19.0772911, 47.433778]","food, beverages"
325,Polygon,garden_centre,"[18.9529449, 47.5280585]",others
326,Polygon,supermarket,"[19.1716144, 47.5100063]",Supermarket
327,Polygon,florist,"[19.082368, 47.4767591]",others
328,Polygon,supermarket,"[19.0868191, 47.4790505]",Supermarket
329,Polygon,sports,"[19.1749781, 47.5113083]",others
330,Polygon,mall,"[19.0118564, 47.4908572]",Mall
331,Polygon,car_parts,"[18.9694973, 47.3889983]",others
332,Polygon,car,"[19.1639133, 47.4277487]",others
333,Polygon,mall,"[19.2013362, 47.4337409]",Mall
334,Polygon,supermarket,"[18.9569109, 47.4610964]",Supermarket
335,Polygon,supermarket,"[19.3386973, 47.611335]",Supermarket
336,Polygon,garden_centre,"[18.9936796, 47.4619101]",others
337,Polygon,car_repair,"[18.8814072, 47.4153029]",others
338,Polygon,car,"[18.8819928, 47.4148018]",others
339,Polygon,furniture,"[18.8822762, 47.4146031]",others
340,Polygon,supermarket,"[18.8890567, 47.4088355]",Supermarket
341,Polygon,supermarket,"[18.923278, 47.3794108]",Supermarket
342,Polygon,supermarket,"[19.0435694, 47.5464207]",Supermarket
343,Polygon,yes,"[19.0832225, 47.4686923]",others
344,Polygon,supermarket,"[18.8903427, 47.4077673]",Supermarket
345,Polygon,yes,"[18.8937657, 47.4054037]",others
346,Polygon,supermarket,"[19.0723781, 47.4077537]",Supermarket
347,Polygon,convenience,"[19.078263, 47.4164054]","food, beverages"
348,Polygon,greengrocer,"[19.0771874, 47.4175056]","food, beverages"
349,Polygon,garden_centre,"[19.3458292, 47.5856051]",others
350,Polygon,car,"[19.1259664, 47.5295627]",others
351,Polygon,trade,"[19.1051737, 47.4223733]",others
352,Polygon,supermarket,"[18.906511, 47.3821793]",Supermarket
353,Polygon,supermarket,"[19.0967636, 47.4450718]",Supermarket
354,Polygon,supermarket,"[19.3478904, 47.5988261]",Supermarket
355,Polygon,supermarket,"[19.3431417, 47.598624]",Supermarket
356,Polygon,car,"[19.1518512, 47.566737]",others
357,Polygon,doityourself,"[19.1493592, 47.5664542]",others
358,Polygon,supermarket,"[19.2679852, 47.5495318]",Supermarket
359,Polygon,supermarket,"[19.2666029, 47.5488052]",Supermarket
360,Polygon,sports,"[19.112247, 47.6072503]",others
361,Polygon,doityourself,"[19.1135231, 47.6107636]",others
362,Polygon,supermarket,"[19.1099443, 47.3870755]",Supermarket
363,Polygon,supermarket,"[19.1551226, 47.4694256]",Supermarket
364,Polygon,furniture,"[19.1541886, 47.4704437]",others
365,Polygon,supermarket,"[19.1573455, 47.4692425]",Supermarket
366,Polygon,car,"[19.0640425, 47.6211993]",others
367,Polygon,car_repair,"[19.1142637, 47.4578742]",others
368,Polygon,supermarket,"[19.187527, 47.4047195]",Supermarket
369,Polygon,supermarket,"[19.1861851, 47.4036054]",Supermarket
370,Polygon,car_parts,"[19.1787276, 47.4090017]",others
371,Polygon,supermarket,"[19.2045795, 47.3903662]",Supermarket
372,Polygon,car_repair,"[19.157432, 47.4364091]",others
373,Polygon,supermarket,"[19.3412709, 47.6066742]",Supermarket
374,Polygon,butcher,"[18.8825892, 47.5759023]","food, beverages"
375,Polygon,beauty,"[18.8853363, 47.575831]",Beauty
376,Polygon,convenience,"[18.8873504, 47.5757893]","food, beverages"
377,Polygon,greengrocer,"[18.8824397, 47.5759045]","food, beverages"
378,Polygon,tobacco,"[18.88757, 47.5757842]",others
379,Polygon,florist,"[18.8859175, 47.5758018]",others
380,Polygon,florist,"[18.8889112, 47.5762606]",others
381,Polygon,supermarket,"[19.0668717, 47.6397723]",Supermarket
382,Polygon,toys,"[18.8757833, 47.5831545]",others
383,Polygon,mall,"[19.0602788, 47.4843335]",Mall
384,Polygon,supermarket,"[19.0251263, 47.5601576]",Supermarket
385,Polygon,supermarket,"[19.2473895, 47.3985802]",Supermarket
386,Polygon,furniture,"[19.0970196, 47.5753256]",others
387,Polygon,car_repair,"[19.1557324, 47.4517239]",others
388,Polygon,convenience,"[18.935602, 47.3577413]","food, beverages"
389,Polygon,bakery,"[19.0206856, 47.5214353]","food, beverages"
390,Polygon,supermarket,"[19.0360008, 47.4459114]",Supermarket
391,Polygon,car_repair,"[19.144739, 47.5178976]",others
392,Polygon,car,"[19.1010766, 47.5329556]",others
393,Polygon,doityourself,"[19.1143136, 47.5349357]",others
394,Polygon,car,"[19.0875642, 47.4694657]",others
395,Polygon,convenience,"[19.133462, 47.547964]","food, beverages"
396,Polygon,supermarket,"[18.987339, 47.5203846]",Supermarket
397,Polygon,trade,"[18.9318287, 47.5514682]",others
398,Polygon,convenience,"[19.1847855, 47.5150874]","food, beverages"
399,Polygon,car,"[19.1577905, 47.4233192]",others
400,Polygon,tobacco,"[19.1714504, 47.5307597]",others
401,Polygon,optician,"[19.1715008, 47.5307]",Health
402,Polygon,greengrocer,"[19.1715858, 47.530606]","food, beverages"
403,Polygon,hardware,"[19.1718209, 47.5307783]",others
404,Polygon,bakery,"[19.1723574, 47.5309837]","food, beverages"
405,Polygon,confectionery,"[19.1720907, 47.5305764]","food, beverages"
406,Polygon,clothes,"[19.1720712, 47.5305746]","Clothing, shoes, accessories"
407,Polygon,florist,"[19.1717705, 47.5304289]",others
408,Polygon,butcher,"[19.171421, 47.5302827]","food, beverages"
409,Polygon,doityourself,"[19.1726725, 47.5312437]",others
410,Polygon,furniture,"[19.1725815, 47.5313059]",others
411,Polygon,tobacco,"[19.1722453, 47.5309434]",others
412,Polygon,newsagent,"[19.0659677, 47.4216978]","Stationery, gifts, books, newspapers"
413,Polygon,supermarket,"[19.1746035, 47.4317283]",Supermarket
414,Polygon,clothes,"[19.1740239, 47.4313423]","Clothing, shoes, accessories"
415,Polygon,supermarket,"[19.1779705, 47.4328612]",Supermarket
416,Polygon,department_store,"[19.1781327, 47.432874]",Department Store
417,Polygon,car,"[19.1351471, 47.4618104]",others
418,Polygon,car_repair,"[19.1487179, 47.4368988]",others
419,Polygon,car,"[19.1465696, 47.4383511]",others
420,Polygon,supermarket,"[19.0842329, 47.4930104]",Supermarket
421,Polygon,sports,"[19.0941068, 47.5222838]",others
422,Polygon,yes,"[18.9193647, 47.5017621]",others
423,Polygon,department_store,"[19.0994123, 47.5574481]",Department Store
424,Polygon,mall,"[19.0553975, 47.490084]",Mall
425,Polygon,supermarket,"[18.9210687, 47.3787246]",Supermarket
426,Polygon,convenience,"[19.357235, 47.5920413]","food, beverages"
427,Polygon,travel_agency,"[19.0225852, 47.5064466]",Travel Agency
428,Polygon,car_repair,"[18.9182832, 47.3788659]",others
429,Polygon,mall,"[18.9165207, 47.3771244]",Mall
430,Polygon,mall,"[18.9188357, 47.3777399]",Mall
431,Polygon,mall,"[18.9206757, 47.3780988]",Mall
432,Polygon,convenience,"[19.0106995, 47.510225]","food, beverages"
433,Polygon,supermarket,"[19.0322452, 47.4927266]",Supermarket
434,Polygon,yes,"[19.0240984, 47.4970394]",others
435,Polygon,car_repair,"[19.0122438, 47.4957486]",others
436,Polygon,supermarket,"[18.9937367, 47.5237979]",Supermarket
437,Polygon,supermarket,"[18.9890137, 47.5223686]",Supermarket
438,Polygon,supermarket,"[18.9895695, 47.5154579]",Supermarket
439,Polygon,convenience,"[19.041087, 47.5373472]","food, beverages"
440,Polygon,car_parts,"[19.168072, 47.4631834]",others
