,poi shape,poi type,coordinate
6375,Point,stop_position,"[19.1187529, 47.4679389]"
6376,Point,bus_stop,"[19.392517, 47.416783]"
6377,Point,bus_stop,"[19.397483, 47.41275]"
6378,Point,bus_stop,"[19.3966322, 47.41382]"
6379,Point,bus_stop,"[19.385756, 47.438708]"
6380,Point,bus_stop,"[19.375053, 47.43964]"
6381,Point,stop_position,"[19.0415085, 47.4248401]"
6382,Point,stop_position,"[19.0342534, 47.4119946]"
6383,Point,stop_position,"[19.1088318, 47.4517131]"
6384,Point,stop_position,"[19.1094705, 47.452017]"
6385,Point,stop_position,"[19.1226173, 47.4223093]"
6386,Point,stop_position,"[19.0999844, 47.4458233]"
6387,Point,bus_stop,"[19.3947926, 47.422542]"
6388,Point,bus_stop,"[19.3956087, 47.4219295]"
6389,Point,bus_stop,"[19.3935755, 47.4230026]"
6390,Point,bus_stop,"[19.3938675, 47.4291439]"
6391,Point,bus_stop,"[19.3936459, 47.4290297]"
6392,Point,bus_stop,"[19.3982951, 47.4260919]"
6393,Point,bus_stop,"[19.4001099, 47.4200908]"
6394,Point,stop,"[19.0230574, 47.5075214]"
6395,Point,bus_stop,"[19.3904229, 47.4197961]"
6396,Point,bus_stop,"[19.389628, 47.419258]"
6397,Point,bus_stop,"[19.3829924, 47.4285222]"
6398,Point,bus_stop,"[19.3834608, 47.4287733]"
