,poi shape,poi type,coordinate
2268,Point,museum,"[19.1492895, 47.447841]"
2269,Point,museum,"[19.064391, 47.4858885]"
2270,Point,museum,"[19.0544046, 47.5146575]"
2271,Point,museum,"[19.0477422, 47.505565]"
2272,Point,information,"[19.025602, 47.6388469]"
2273,Point,museum,"[19.0464634, 47.5012322]"
2274,Point,attraction,"[19.1712939, 47.4217189]"
2275,Point,hotel,"[19.0430186, 47.470872]"
2276,Point,information,"[19.0460834, 47.5399471]"
2277,Point,hostel,"[19.0589798, 47.5006598]"
2278,Point,attraction,"[19.0630113, 47.4956774]"
2279,Point,attraction,"[19.0860529, 47.5397774]"
2280,Point,guest_house,"[19.0615641, 47.4860273]"
2281,Point,hotel,"[19.0464149, 47.5047583]"
2282,Point,guest_house,"[19.0531505, 47.4967813]"
2283,Point,viewpoint,"[18.9782292, 47.4745479]"
2284,Point,viewpoint,"[18.979847, 47.4746358]"
2285,Point,attraction,"[19.1210255, 47.3879041]"
2286,Point,hotel,"[19.3553296, 47.6138288]"
2287,Point,information,"[19.0180941, 47.482604]"
2288,Point,viewpoint,"[19.0182213, 47.482772]"
2289,Point,viewpoint,"[19.0197468, 47.4840738]"
2290,Point,picnic_site,"[18.913073, 47.475142]"
2291,Point,artwork,"[19.0827922, 47.5004538]"
2292,Point,hotel,"[19.057214, 47.493948]"
2293,Point,viewpoint,"[19.0340455, 47.5030288]"
2294,Point,viewpoint,"[18.9908504, 47.4804122]"
2295,Point,information,"[19.0485643, 47.5676811]"
2296,Point,information,"[19.0250561, 47.5278182]"
2297,Point,viewpoint,"[19.0247886, 47.5282796]"
2298,Point,viewpoint,"[18.9706947, 47.4753547]"
2299,Point,viewpoint,"[18.9146309, 47.4750684]"
2300,Point,artwork,"[19.0392164, 47.4988643]"
2301,Point,hostel,"[19.06436, 47.5055494]"
2302,Point,information,"[19.0422189, 47.5422908]"
2303,Point,picnic_site,"[18.9922204, 47.5345888]"
2304,Point,attraction,"[19.0100038, 47.499925]"
2305,Point,information,"[19.0601631, 47.4782888]"
2306,Point,hotel,"[19.0268969, 47.4906406]"
2307,Point,hostel,"[19.0599545, 47.4871955]"
2308,Point,information,"[18.877659, 47.5976779]"
2309,Point,hostel,"[19.0217227, 47.50765]"
2310,Point,hotel,"[19.0500048, 47.4939881]"
2311,Point,artwork,"[19.0521025, 47.4924154]"
2312,Point,artwork,"[19.0521646, 47.492435]"
2313,Point,viewpoint,"[18.9594077, 47.4653137]"
2314,Point,museum,"[19.3420438, 47.4460578]"
2315,Point,artwork,"[19.0392945, 47.4958483]"
2316,Point,artwork,"[19.0393749, 47.4957022]"
2317,Point,artwork,"[19.0392433, 47.4958215]"
2318,Point,artwork,"[19.0394399, 47.4957362]"
2319,Point,artwork,"[19.0480945, 47.4866349]"
2320,Point,artwork,"[19.048184, 47.4867898]"
2321,Point,artwork,"[19.0552439, 47.4803245]"
2322,Point,artwork,"[19.0596772, 47.475987]"
2323,Point,artwork,"[19.0594754, 47.475875]"
2324,Point,artwork,"[19.0574956, 47.477735]"
2325,Point,artwork,"[19.0560105, 47.4815903]"
2326,Point,artwork,"[19.0559547, 47.481638]"
2327,Point,artwork,"[19.0558979, 47.4816867]"
2328,Point,artwork,"[19.0558421, 47.4817344]"
2329,Point,artwork,"[19.0328825, 47.4632636]"
2330,Point,artwork,"[19.0287399, 47.488961]"
2331,Point,artwork,"[19.0150609, 47.4906189]"
2332,Point,viewpoint,"[18.9147914, 47.4746338]"
2333,Point,artwork,"[19.0159953, 47.4923114]"
2334,Point,artwork,"[19.0158959, 47.4923909]"
2335,Point,artwork,"[19.0158508, 47.4922829]"
2336,Point,artwork,"[19.0180879, 47.4959941]"
2337,Point,attraction,"[19.0400969, 47.5408611]"
2338,Point,attraction,"[19.0428346, 47.4920528]"
2339,Point,viewpoint,"[18.9490642, 47.5925892]"
2340,Point,attraction,"[19.0525773, 47.4922289]"
2341,Point,attraction,"[19.0525672, 47.4923068]"
2342,Point,attraction,"[19.0525545, 47.4923304]"
2343,Point,artwork,"[19.0506827, 47.496441]"
2344,Point,artwork,"[19.047244, 47.5082997]"
2345,Point,guest_house,"[18.9561721, 47.4296594]"
2346,Point,artwork,"[19.0836227, 47.516724]"
2347,Point,artwork,"[19.0811771, 47.5161031]"
2348,Point,information,"[18.9550118, 47.5399127]"
2349,Point,hotel,"[19.0266736, 47.4691484]"
2350,Point,artwork,"[18.9995651, 47.3233527]"
2351,Point,artwork,"[18.9973723, 47.3250759]"
2352,Point,hotel,"[19.0555739, 47.4989742]"
2353,Point,information,"[18.8964136, 47.5975156]"
2354,Point,hostel,"[19.0622192, 47.4858395]"
2355,Point,hotel,"[19.0773926, 47.498463]"
2356,Point,artwork,"[19.0099207, 47.4461266]"
2357,Point,hotel,"[19.0536601, 47.4998156]"
2358,Point,artwork,"[19.1205598, 47.5411158]"
2359,Point,artwork,"[19.1229543, 47.5411734]"
2360,Point,artwork,"[19.1219176, 47.5404077]"
2361,Point,information,"[19.0964764, 47.3527741]"
2362,Point,information,"[18.8986852, 47.6003785]"
2363,Point,viewpoint,"[19.0176022, 47.4381154]"
2364,Point,artwork,"[19.0593946, 47.4788131]"
2365,Point,artwork,"[19.0836535, 47.5162432]"
2366,Point,artwork,"[19.0644052, 47.4911803]"
2367,Point,artwork,"[19.0592624, 47.4735226]"
2368,Point,artwork,"[19.0787506, 47.5150011]"
2369,Point,artwork,"[19.077994, 47.515531]"
2370,Point,artwork,"[19.0825778, 47.5157665]"
2371,Point,artwork,"[19.0786757, 47.5152722]"
2372,Point,artwork,"[19.0783892, 47.5154786]"
2373,Point,artwork,"[19.0979112, 47.5087324]"
2374,Point,museum,"[19.0830735, 47.5150508]"
2375,Point,artwork,"[19.0542588, 47.4984134]"
2376,Point,artwork,"[19.0784614, 47.5191982]"
2377,Point,artwork,"[19.0837454, 47.514931]"
2378,Point,artwork,"[19.083714, 47.5147844]"
2379,Point,artwork,"[19.0837319, 47.5150785]"
2380,Point,artwork,"[19.0836345, 47.514639]"
2381,Point,artwork,"[19.0836884, 47.5153073]"
2382,Point,artwork,"[19.039482, 47.4892463]"
2383,Point,artwork,"[19.039445, 47.4892391]"
2384,Point,artwork,"[19.0394081, 47.4892319]"
2385,Point,artwork,"[19.0393968, 47.4892768]"
2386,Point,artwork,"[19.0394272, 47.4892612]"
2387,Point,artwork,"[19.0394558, 47.4892762]"
2388,Point,artwork,"[19.0394451, 47.4892982]"
2389,Point,artwork,"[19.0394117, 47.4892999]"
2390,Point,information,"[19.0392969, 47.4892447]"
2391,Point,artwork,"[19.042531, 47.4852768]"
2392,Point,artwork,"[19.0490803, 47.4845825]"
2393,Point,artwork,"[19.0450947, 47.4860228]"
2394,Point,artwork,"[19.0501558, 47.5161892]"
2395,Point,attraction,"[19.0258086, 47.5285581]"
2396,Point,artwork,"[19.0534224, 47.4920814]"
2397,Point,artwork,"[19.0496896, 47.4943741]"
2398,Point,artwork,"[19.0502039, 47.4932112]"
2399,Point,artwork,"[19.0511721, 47.4924993]"
2400,Point,viewpoint,"[19.0100773, 47.5234783]"
2401,Point,artwork,"[19.0603075, 47.4975014]"
2402,Point,artwork,"[19.0545943, 47.4977302]"
2403,Point,information,"[18.9605056, 47.5282457]"
2404,Point,information,"[18.9611161, 47.5281726]"
2405,Point,information,"[18.9616523, 47.5283151]"
2406,Point,artwork,"[19.1247139, 47.5113018]"
2407,Point,artwork,"[19.1246912, 47.5113163]"
2408,Point,artwork,"[19.1247573, 47.5113327]"
2409,Point,artwork,"[19.1249327, 47.51147]"
2410,Point,hotel,"[19.0783158, 47.4822795]"
2411,Point,hotel,"[19.0810508, 47.4937094]"
2412,Point,artwork,"[19.0068422, 47.4890765]"
2413,Point,attraction,"[19.3945293, 47.4201245]"
2414,Point,viewpoint,"[18.9079909, 47.5895586]"
2415,Point,information,"[19.0535319, 47.498883]"
2416,Point,viewpoint,"[18.9078924, 47.4630162]"
2417,Point,attraction,"[18.9132967, 47.4628942]"
2418,Point,attraction,"[19.2420007, 47.5977717]"
2419,Point,attraction,"[19.3049738, 47.5764179]"
2420,Point,attraction,"[19.2752576, 47.5867935]"
2421,Point,attraction,"[19.2818783, 47.5789051]"
2422,Point,artwork,"[19.0376197, 47.5107539]"
2423,Point,artwork,"[19.0418042, 47.4787273]"
2424,Point,artwork,"[19.019471, 47.4903204]"
2425,Point,attraction,"[19.0913757, 47.4514134]"
2426,Point,attraction,"[19.055897, 47.4995556]"
2427,Point,artwork,"[19.0461214, 47.4995215]"
2428,Point,artwork,"[19.0461712, 47.4993958]"
2429,Point,information,"[19.0321642, 47.5005832]"
2430,Point,information,"[19.0321507, 47.5005543]"
2431,Point,information,"[19.0348655, 47.4998857]"
2432,Point,museum,"[19.0495312, 47.4957556]"
2433,Point,museum,"[19.040854, 47.5383427]"
2434,Point,museum,"[19.0021693, 47.5275297]"
2435,Point,museum,"[19.0872342, 47.5056806]"
2436,Point,viewpoint,"[19.0540387, 47.5006937]"
2437,Point,attraction,"[19.0534915, 47.5005052]"
2438,Point,museum,"[19.0973443, 47.5057129]"
2439,Point,museum,"[19.0402286, 47.4442148]"
2440,Point,museum,"[18.9875856, 47.3928704]"
2441,Point,museum,"[19.2028517, 47.5322701]"
2442,Point,attraction,"[19.0505961, 47.5012599]"
2443,Point,attraction,"[19.0349708, 47.4993396]"
2444,Point,attraction,"[19.0568248, 47.5034055]"
2445,Point,attraction,"[19.0340039, 47.5337758]"
2446,Point,gallery,"[19.0603882, 47.4921439]"
2447,Point,gallery,"[19.0608916, 47.5011533]"
2448,Point,gallery,"[19.0257646, 47.5058349]"
2449,Point,gallery,"[19.0514521, 47.517425]"
2450,Point,gallery,"[19.0512185, 47.5055721]"
2451,Point,gallery,"[19.0563246, 47.5063935]"
2452,Point,gallery,"[19.0647056, 47.4925856]"
2453,Point,gallery,"[19.0508817, 47.4938841]"
2454,Point,gallery,"[19.0599694, 47.5003059]"
2455,Point,gallery,"[19.0522106, 47.4817735]"
2456,Point,gallery,"[19.0269514, 47.5058518]"
2457,Point,gallery,"[19.0598124, 47.5042011]"
2458,Point,gallery,"[19.0518469, 47.4798686]"
2459,Point,gallery,"[19.0504196, 47.5055674]"
2460,Point,gallery,"[19.0669043, 47.504248]"
2461,Point,artwork,"[19.0508559, 47.4853965]"
2462,Point,attraction,"[19.0551627, 47.5014471]"
2463,Point,gallery,"[19.0675265, 47.492481]"
2464,Point,gallery,"[19.0403751, 47.4158044]"
2465,Point,gallery,"[19.0445123, 47.4596113]"
2466,Point,gallery,"[19.067708, 47.4907709]"
2467,Point,gallery,"[19.0315725, 47.464083]"
2468,Point,gallery,"[19.0579492, 47.4939192]"
2469,Point,gallery,"[19.0749963, 47.4842605]"
2470,Point,gallery,"[19.0335023, 47.486687]"
2471,Point,gallery,"[19.0518847, 47.479944]"
2472,Point,gallery,"[19.0517389, 47.4795649]"
2473,Point,gallery,"[19.0638274, 47.4989541]"
2474,Point,gallery,"[19.0628678, 47.4841541]"
