ID,poi shape,poi type,coordinate,amenity_types,latitude,longitude
14929,Point,recycling," 19.10867, 47.53925 ",Recycling,47.53925,19.10867
14930,Point,recycling," 19.0712971, 47.5470955 ",Recycling,47.5470955,19.0712971
14932,Point,recycling," 19.0617517, 47.5373425 ",Recycling,47.5373425,19.0617517
14933,Point,recycling," 19.06292, 47.53883 ",Recycling,47.53883,19.06292
14934,Point,recycling," 19.06695, 47.5368 ",Recycling,47.5368,19.06695
14939,Point,recycling," 19.0794697, 47.5480955 ",Recycling,47.5480955,19.0794697
14940,Point,recycling," 19.0614125, 47.530767 ",Recycling,47.530767,19.0614125
14949,Point,recycling," 19.06162, 47.53409 ",Recycling,47.53409,19.06162
14950,Point,recycling," 19.08023, 47.55225 ",Recycling,47.55225,19.08023
14951,Point,recycling," 19.07648, 47.54909 ",Recycling,47.54909,19.07648
14954,Point,recycling," 19.06024, 47.53461 ",Recycling,47.53461,19.06024
14956,Point,recycling," 19.0723224, 47.5229989 ",Recycling,47.5229989,19.0723224
14958,Point,recycling," 19.0602954, 47.5256825 ",Recycling,47.5256825,19.0602954
14960,Point,recycling," 19.0690148, 47.5287083 ",Recycling,47.5287083,19.0690148
14961,Point,recycling," 19.0706754, 47.5284506 ",Recycling,47.5284506,19.0706754
14981,Point,recycling," 19.11825, 47.5451432 ",Recycling,47.5451432,19.11825
14984,Point,recycling," 19.0393088, 47.4730854 ",Recycling,47.4730854,19.0393088
14985,Point,recycling," 19.10489, 47.56185 ",Recycling,47.56185,19.10489
14986,Point,recycling," 19.1083, 47.56308 ",Recycling,47.56308,19.1083
14995,Point,recycling," 19.0987441, 47.5638525 ",Recycling,47.5638525,19.0987441
14997,Point,recycling," 19.0851, 47.58859 ",Recycling,47.58859,19.0851
14998,Point,recycling," 19.08581, 47.5826 ",Recycling,47.5826,19.08581
15002,Point,recycling," 19.091254, 47.4851291 ",Recycling,47.4851291,19.091254
15008,Point,recycling," 19.1157657, 47.5937388 ",Recycling,47.5937388,19.1157657
15009,Point,recycling," 19.1210404, 47.5983846 ",Recycling,47.5983846,19.1210404
15049,Point,recycling," 19.0996273, 47.5810872 ",Recycling,47.5810872,19.0996273
15073,Point,recycling," 19.11384, 47.58836 ",Recycling,47.58836,19.11384
15149,Point,recycling," 19.0322569, 47.4873815 ",Recycling,47.4873815,19.0322569
15170,Point,recycling," 19.1002314, 47.5118828 ",Recycling,47.5118828,19.1002314
15177,Point,recycling," 18.940609, 47.4561616 ",Recycling,47.4561616,18.940609
15178,Point,recycling," 18.9394247, 47.4598009 ",Recycling,47.4598009,18.9394247
15179,Point,recycling," 18.9843839, 47.4637951 ",Recycling,47.4637951,18.9843839
15181,Point,recycling," 18.983364, 47.3920596 ",Recycling,47.3920596,18.983364
15182,Point,recycling," 19.0111487, 47.4155508 ",Recycling,47.4155508,19.0111487
15221,Point,recycling," 19.0305628, 47.3390456 ",Recycling,47.3390456,19.0305628
15223,Point,recycling," 19.0319516, 47.3226036 ",Recycling,47.3226036,19.0319516
15243,Point,recycling," 19.0968961, 47.4793492 ",Recycling,47.4793492,19.0968961
15253,Point,recycling," 19.0679685, 47.4208701 ",Recycling,47.4208701,19.0679685
15254,Point,recycling," 19.0687973, 47.421371 ",Recycling,47.421371,19.0687973
15269,Point,recycling," 19.0394999, 47.3394133 ",Recycling,47.3394133,19.0394999
15277,Point,recycling," 19.0853494, 47.485335 ",Recycling,47.485335,19.0853494
15292,Point,recycling," 19.2442871, 47.5421265 ",Recycling,47.5421265,19.2442871
15304,Point,recycling," 19.2632677, 47.5600458 ",Recycling,47.5600458,19.2632677
15313,Point,recycling," 19.2701234, 47.5532 ",Recycling,47.5532,19.2701234
15314,Point,recycling," 19.2589922, 47.538535 ",Recycling,47.538535,19.2589922
15337,Point,recycling," 19.1006822, 47.5323386 ",Recycling,47.5323386,19.1006822
15338,Point,recycling," 19.1063256, 47.5214318 ",Recycling,47.5214318,19.1063256
15341,Point,recycling," 19.106524, 47.5385643 ",Recycling,47.5385643,19.106524
15342,Point,recycling," 19.1195739, 47.5142089 ",Recycling,47.5142089,19.1195739
15368,Point,recycling," 19.1247462, 47.5127854 ",Recycling,47.5127854,19.1247462
15376,Point,recycling," 18.9068157, 47.3822041 ",Recycling,47.3822041,18.9068157
15397,Point,recycling," 18.9118839, 47.6215936 ",Recycling,47.6215936,18.9118839
15405,Point,recycling," 19.1153545, 47.57806 ",Recycling,47.57806,19.1153545
15421,Point,recycling," 19.0852414, 47.5389838 ",Recycling,47.5389838,19.0852414
15432,Point,recycling," 19.1290541, 47.5322811 ",Recycling,47.5322811,19.1290541
15520,Point,recycling," 19.1311632, 47.4368521 ",Recycling,47.4368521,19.1311632
15605,Point,recycling," 19.1434939, 47.4853411 ",Recycling,47.4853411,19.1434939
15626,Point,recycling," 19.0761455, 47.5513688 ",Recycling,47.5513688,19.0761455
