ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF millions),Size(sqm),Price per sqm (HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Garden access,Balcony,Attic,Attic: Loft conversion,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District
5018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,109,660550.4587, Mátyásföld – Petőfikert,-1,-1,1,garden view,1,0,0,-1,-1,-1,3 + 1 half room,3,1,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,2,-1,combination boiler,0,0,1,0,not specified,together,0,1,-1,-1,-1,-1,-1,-1,47.50843,19.21695,47.50843,19.21695,1165,16
5019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9,65,767692.3077, II/A kerület – Máriaremete,-1,-1,1,garden view,1,0,0,-1,-1,-1,2 room,2,0,needs renovation,0,0,0,0,1,0,full comfort,0,1,0,-1,1,-1,combination boiler,0,0,1,0,no,not specified,-1,-1,-1,-1,-1,loft conversion possible,1,-1,47.558613,18.945063,47.558613,18.945063,1029,2
5020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.0,650,230769.2308, Csillaghegy,-1,-1,1,panoramic,0,1,0,-1,not available,0,12 + 6 half room,12,6,in good condition,0,1,0,0,0,0,full comfort,0,1,0,CC,3,-1,combination boiler,0,0,1,0,no,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.585827,19.051441,47.585827,19.051441,1039,3
5021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,40,547500.0, Gubacsipuszta,-1,-1,-1,not specified,0,0,0,-1,-1,-1,1 room,1,0,not specified,0,0,0,0,0,0,not specified,0,0,0,-1,-1,-1,natural gas (convector),1,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.428173,19.138158999999998,47.428173,19.138158999999998,1204,20
5022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.0,167,1994011.976, Víziváros – Váralja,-1,-1,1,street view,0,0,1,-1,available,1,5 + 2 half room,5,2,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,2,-1,combination boiler,0,0,1,0,not specified,separate,1,0,-1,-1,-1,loft conversion possible,1,-1,47.504020000000004,19.034729000000002,47.504020000000004,19.034729000000002,1015,1
5023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9,170,217058.8235, Erzsébetfalva,-1,-1,1,not specified,0,0,0,-1,not available,0,5 room,5,0,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,2,-1,combination boiler,0,0,1,0,not specified,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.443764,19.109503,47.443764,19.109503,1203,20
5024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.9,180,471666.6667, Táborhegy,-1,-1,1,garden view,1,0,0,-1,-1,-1,3 + 1 half room,3,1,mint,0,0,0,0,0,1,double comfort,1,0,0,CC,2,-1,padlófűtés,0,0,0,0,no,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.550007,19.021368,47.550007,19.021368,1037,3
5025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,212,330188.6792, Sashalom – Nagyiccetelep,-1,-1,1,not specified,0,0,0,-1,available,1,7 room,7,0,renovated,0,0,1,0,0,0,not specified,0,0,0,-1,-1,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.507088,19.18775,47.507088,19.18775,1163,16
5026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,93,430107.5269, Baross Gábor-telep,-1,-1,-1,garden view,1,0,0,-1,not available,0,2 + 1 half room,2,1,needs renovation,0,0,0,0,1,0,double comfort,1,0,0,DD,2,-1,gáz (cirko),1,0,0,0,not specified,together,0,1,-1,-1,-1,loft conversion,1,-1,47.41774,18.994717,47.41774,18.994717,1224,22
5027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.0,598,500000.0, Remetehegy,-1,-1,-1,not specified,0,0,0,-1,-1,-1,5 + 1 half room,5,1,in good condition,0,1,0,0,0,0,not specified,0,0,0,-1,3,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.540195000000004,19.0201,47.540195000000004,19.0201,1037,3
5028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,124,282258.0645, Fakopács utca 22,-1,-1,1,garden view,1,0,0,-1,-1,-1,4 room,4,0,mint,0,0,0,0,0,1,double comfort,1,0,0,AA++,2,-1,combination boiler,0,0,1,0,not specified,separate,1,0,-1,-1,-1,loft conversion not possible,0, Busz   135    Éjszakai   966   ,47.396004,19.12022,47.396004,19.12022,1239,23
5029,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.9,128,546093.75, Sashalom – Nagyiccetelep,-1,-1,1,garden view,1,0,0,-1,-1,-1,5 room,5,0,not specified,0,0,0,0,0,0,double comfort,1,0,0,A,2,-1,combination boiler,0,0,1,0,not specified,separate and together too,1,0,-1,-1,-1,-1,-1,-1,47.507088,19.18775,47.507088,19.18775,1163,16
5030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,59,286440.678, Soroksár,-1,-1,1,garden view,1,0,0,-1,not available,0,1 + 1 half room,1,1,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,1,-1,combination boiler,0,0,1,0,yes,separate,1,0,-1,-1,-1,loft conversion not possible,0,-1,47.401592,19.11979,47.401592,19.11979,1238,23
