,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Utility level,full comfort,double comfort,full comfort,double comfort,full comfort,full comfort,full comfort,full comfort,full comfort,full comfort,full comfort,full comfort,full comfort,double comfort,double comfort,full comfort,full comfort,full comfort,full comfort,full comfort,full comfort,full comfort,full comfort,full comfort,full comfort,full comfort,full comfort,full comfort,full comfort,double comfort,double comfort,full comfort,double comfort,full comfort,full comfort,not specified,not specified,full comfort,full comfort,full comfort
Energy Performance Certificate,not specified,not specified,not specified,not specified,not specified,CC,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,CC,not specified,not specified,not specified,not specified,not specified,AA,not specified
Floors of the building,4,5,5,2,5,10,5,9,5,5,4,5,5,4,4,5,5,4,4,8,8,9,4,9,4,4,7,5,8,7,7,8,6,9,7,9,7,7,4,8
Ceiling height,3 m or more,3 m or more,3 m or more,less than 3 m,3 m or more,not specified,3 m or more,less than 3 m,less than 3 m,less than 3 m,not specified,less than 3 m,less than 3 m,not specified,not specified,less than 3 m,less than 3 m,not specified,not specified,less than 3 m,less than 3 m,less than 3 m,less than 3 m,less than 3 m,not specified,not specified,not specified,less than 3 m,less than 3 m,less than 3 m,less than 3 m,less than 3 m,less than 3 m,less than 3 m,less than 3 m,less than 3 m,less than 3 m,3 m or more,less than 3 m,less than 3 m
Heating,natural gas (convector),natural gas (convector),natural gas (convector),combination boiler,district heating,central heating (metered),natural gas (convector),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),mennyezeti hűtés-fűtés,mennyezeti hűtés-fűtés,central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered),central heating (metered)
Accessible,no,no,not specified,no,no,yes,no,not specified,not specified,not specified,not specified,not specified,not specified,yes,not specified,not specified,not specified,not specified,not specified,yes,yes,not specified,yes,not specified,not specified,not specified,yes,not specified,yes,yes,yes,not specified,yes,not specified,yes,not specified,yes,yes,not specified,not specified
Bathroom and toilet,separate,separate and together too,separate,separate and together too,separate,separate,separate,separate,separate,separate,separate,separate,separate and together too,separate and together too,separate and together too,separate,together,separate,separate,separate and together too,separate and together too,together,separate,separate and together too,separate,not specified,separate,separate,separate,separate and together too,separate,together,separate and together too,separate,not specified,together,not specified,together,separate,together
Orientation,Southwest,Southeast,Southeast,Southeast,not specified,West,Southwest,East,Northeast,Northwest,not specified,Southwest,Northwest,South,not specified,Southeast,Northwest,not specified,not specified,East,Southwest,East,Northeast,Northeast,Southwest,Northeast,East,Northeast,Northeast,Southwest,not specified,not specified,Southwest,West,not specified,West,East,not specified,not specified,not specified
Garden access,no,no,not specified,no,no,no,no,no,not specified,not specified,not specified,not specified,no,not specified,not specified,no,not specified,not specified,yes,no,no,not specified,no,no,not specified,not specified,not specified,no,not specified,not specified,no,no,no,no,no,no,not specified,no,not specified,no
Balcony,-1,-1,-1,13 sqm,-1,18.24 sqm,1 sqm,9.6 sqm,3 sqm,6.52 sqm,3.71 sqm,7 sqm,10.29 sqm,8.07 sqm,8.07 sqm,30 sqm,8.52 sqm,5.58 sqm,6 sqm,8 sqm,4 sqm,89.6 sqm,36.16 sqm,18.22 sqm,10.32 sqm,5 sqm,6.5 sqm,5 sqm,12 sqm,11.43 sqm,11.34 sqm,15.42 sqm,17.74 sqm,16 sqm,3.81 sqm,14 sqm,11.2 sqm,6.11 sqm,34.7 sqm,12 sqm
Attic,not specified,no loft conversion,not specified,top floor,no loft conversion,top floor,no loft conversion,no loft conversion,no loft conversion,not specified,not specified,not specified,no loft conversion,no loft conversion,no loft conversion,not specified,not specified,no loft conversion,not specified,no loft conversion,no loft conversion,no loft conversion,top floor,no loft conversion,not specified,not specified,not specified,not specified,not specified,no loft conversion,no loft conversion,no loft conversion,no loft conversion,no loft conversion,no loft conversion,no loft conversion,not specified,no loft conversion,top floor,no loft conversion
Transportation, Metró   M1   M3    Busz   108E   5   110   112   115   133E   7   15   178   8E   9    Éjszakai   909   914   914A   916   931   950   979   979A   990   973   956   908   907   ,-1, Villamos   4   6    Metró   M3    Busz   6   9   15   115    Éjszakai   914   914A   923   931   950   950A    Troli   70   72   73   78   ,-1, Busz   15   115    Troli   75   76   , Villamos   1    Busz   103   133E   33   , Villamos   4   6    Metró   M1    Busz   6   105    Éjszakai   979   923    Troli   72   73   76   , Busz   30   230   30A   , Busz   20E   30   230   30A   , Villamos   1   14    Busz   14   32   105    Éjszakai   914   914A   , Villamos   1   14    Busz   14   30   120   230   30A    Éjszakai   914A   914   , Villamos   1   14    Busz   14   32   105    Éjszakai   914   914A   , Villamos   1   14    Busz   14   32   105    Éjszakai   914   914A   , Villamos   1   14    Busz   14   30   120   230   30A    Éjszakai   914A   914   , Villamos   1   14    Busz   14   30   120   230   30A    Éjszakai   914A   914   , Villamos   1   14    Busz   14   32   105    Éjszakai   914   914A   , Villamos   1   14    Busz   14   32   105    Éjszakai   914   914A   , Villamos   1   14    Busz   14   30   120   230   30A    Éjszakai   914A   914   , Villamos   1   14    Busz   14   30   120   230   30A    Éjszakai   914A   914   , Busz   15   115   , Busz   15   115   ,-1, Busz   30   120   230   30A   ,-1, Metró   M2    Busz   95   100   130   195    Éjszakai   908   931   956   990    Troli   80   80A   , Metró   M2    Busz   95   100   130   195    Éjszakai   908   931   956   990    Troli   80   80A   , Villamos   24   24G   28   28A   37   37A   62    Busz   217E   9   99    Éjszakai   909    Troli   83   , Villamos   1   14    Busz   14   32   105    Éjszakai   914   914A   ,-1, Busz   20E   30   230   30A   32   105   , Busz   20E   30   230   30A   32   105   , Villamos   14    Busz   14   105    Éjszakai   914   914A    Troli   75   79   ,-1,-1, Busz   20E   30   230   30A   32   105   ,-1, Busz   15   115    Troli   75   79   , Busz   20E   30   230   30A   32   105   , Villamos   1   14    Busz   14   30   230   30A    Éjszakai   914A   914   , Villamos   14    Metró   M3    Busz   14   15   115   105    Éjszakai   914   914A   950    Troli   75   79   
Latitude,47.49418,47.51772,47.50704,47.413685,47.5169,47.46068,47.50879,47.53429,47.536358,47.529858,47.54509,47.52973,47.529858,47.54509,47.54509,47.529858,47.529858,47.54509,47.54509,47.538403,47.538403,47.54674,47.54391,47.54674,47.50344,47.50344,47.48667,47.52973,47.538097,47.526005,47.526005,47.519947,47.190147,47.54674,47.526005,47.54674,47.522907,47.526005,47.54395,47.5217
Longitude,19.05406,19.054592,19.05253,19.204273,19.05317,19.04869,19.06271,19.090073,19.0886&markers,19.07906&markers,19.090254&markers,19.078869&markers,19.07906&markers,19.090254&markers,19.090254&markers,19.07906&markers,19.07906&markers,19.090254&markers,19.090254&markers,19.064398&markers,19.064398&markers,19.06614,19.094372&markers,19.06614,19.115587&markers,19.115587&markers,19.08633,19.078869&markers,19.08208,19.087303&markers,19.087303&markers,19.065975&markers,18.413279&markers,19.06614,19.087303&markers,19.06614,19.057665&markers,19.087303&markers,19.089256&markers,19.065405&markers
